Date,Section,Activity,Required reading/Notes
"Wednesday, August 28, 2019",Introduction 01,Syllabus Review and introduction,"Kachigan p. 3 to 25, Broman and Woo (2018), Zar Ch 1.1 to 1.2"
"Monday, September 02, 2019",Labor Day,,
"Wednesday, September 04, 2019",Introduction 02,Frequency Distributions and Variation,"Kachigan p. 29 to 69, Zar Ch 1.3 to 1.4 and Ch 3 to 4"
"Monday, September 09, 2019",Introduction 03,"Probability, Sampling, and Parameters","Kachigan p. 73 to 159, Zar Ch 5, Zar 6.1 to 6.3"
"Wednesday, September 11, 2019",In class assignment,,"Leaf, GSMFC Annual Meeting"
"Monday, September 16, 2019",Introduction 04,Hypothesis Testing and Statistical Power,"Kachigan p. 160 to 192, Trafimow et al. 2017, Benjamin et al. 2018, Zar Ch 6.4, Zar Ch 7.1 to 7.3, Leaf SSC"
"Wednesday, September 18, 2019",In class assignment,,Leaf SSC
"Monday, September 23, 2019",Introduction 05,Correlation,"Kachigan p. 195 to 237, Fields et al. Ch 6, Zar Ch 17.1, Zar Ch 19.9"
"Wednesday, September 25, 2019",Linear Models 01,Simple Linear Regression,"Kachigan p. 238 to 259, Fields et al. Ch 7, Zar Ch 17"
"Monday, September 30, 2019",Midterm 01,"HW01 Due, HW Returned (Friday)",
"Wednesday, October 02, 2019",Linear Models 02,"Review Midterm 01, Multiple Linear Regression",Zar Ch 20
"Monday, October 07, 2019",In class assignment,,"Kachigan p. 259 to 271, Fields et al. Ch 7"
"Wednesday, October 09, 2019",Linear Models 03,Comparing two means,Fields et al. Ch 9
"Monday, October 14, 2019",In class assignment,,
"Wednesday, October 16, 2019",Linear Models 05,One-way ANOVA,"Kachigan p. 272 to 282, Fields et al. Ch 10"
"Monday, October 21, 2019",In class assignment,,
"Wednesday, October 23, 2019","Linear Models, 7, Factorial ANOVA","HW02 Due, HW Returned (Friday)","Kachigan p. 282 to 330, Fields et al. Ch 12"
"Monday, October 28, 2019",Midterm 02,,
"Wednesday, October 30, 2019",Linear Models 06,"Analysis of Categorical Data, Review Midterm 02","Kachigan p. 342 to 356, Zar Ch. 22 and 23"
"Monday, November 04, 2019",In class assignment,,
"Wednesday, November 06, 2019",Computer-intensive resampling methods 01,,Hesterberg (2015)
"Monday, November 11, 2019",Computer-intensive resampling methods 02,,
"Wednesday, November 13, 2019",In class assignment,"HW03 Due, HW Returned (Friday)",
"Monday, November 18, 2019",Midterm 03,,
"Wednesday, November 20, 2019",Maximum Likelihood,,
"Monday, November 25, 2019",Thanksgiving Holiday,Eating Turkey,
"Wednesday, November 27, 2019",Thanksgiving Holiday,Digesting Turkey,
"Monday, December 02, 2019",Non-linear curve fitting and AIC,,"Burnham and Anderson (2011), Leaf and Murphy Case Study"
"Wednesday, December 04, 2019",Final Exam Review,,
"Monday, December 09, 2019","Final Exam Week, Scheduling from USM",,
